Date,Open,High,Low,Close,Adj Close,Volume
2018-01-29,15.744000,15.788000,15.468000,15.486000,15.060807,12350637
2018-01-30,15.270000,15.326000,14.794000,14.794000,14.387807,22832825
2018-01-31,14.854000,14.992000,14.776000,14.794000,14.387807,16897184
2018-02-01,14.914000,15.040000,14.652000,14.774000,14.368357,16363759
2018-02-02,14.150000,14.256000,13.726000,13.856000,13.475562,41388661
2018-02-05,13.750000,14.114000,13.620000,13.652000,13.277163,21980378
2018-02-06,13.200000,13.486000,13.056000,13.168000,12.806453,33215578
2018-02-07,13.294000,13.294000,12.632000,13.110000,12.750044,37059448
2018-02-08,13.150000,13.484000,12.700000,12.800000,12.448556,25741046
2018-02-09,12.770000,12.932000,12.370000,12.514000,12.170408,33071547
2018-02-12,12.776000,13.234000,12.660000,13.018000,12.660570,28376833
2018-02-13,13.048000,13.140000,12.820000,12.820000,12.468006,15744111
2018-02-14,12.990000,13.008000,12.706000,12.932000,12.576932,20581459
2018-02-15,13.100000,13.322000,12.796000,12.872000,12.518579,17720986
2018-02-16,12.980000,13.060000,12.740000,12.922000,12.567205,16863561
2018-02-19,13.080000,13.324000,13.044000,13.194000,12.831738,12275601
2018-02-20,13.232000,13.394000,13.104000,13.394000,13.026246,14016742
2018-02-21,13.368000,13.622000,13.304000,13.582000,13.209085,14211572
2018-02-22,13.480000,13.642000,13.286000,13.448000,13.078764,11953105
2018-02-23,13.494000,13.510000,13.276000,13.296000,12.930937,7787961
2018-02-26,13.382000,13.448000,13.286000,13.314000,12.948443,8174091
2018-02-27,13.322000,13.470000,13.266000,13.454000,13.084599,9484022
2018-02-28,13.370000,13.498000,13.190000,13.200000,12.837573,10196665
2018-03-01,13.100000,13.138000,12.854000,12.950000,12.594438,16593706
2018-03-02,12.774000,12.818000,12.506000,12.550000,12.205420,17585980
2018-03-05,12.500000,12.888000,12.500000,12.824000,12.471897,15884219
2018-03-06,12.978000,13.076000,12.840000,12.862000,12.508854,12996960
2018-03-07,12.830000,13.176000,12.750000,13.176000,12.814232,12540799
2018-03-08,13.136000,13.174000,12.872000,13.100000,12.740318,11502455
2018-03-09,13.072000,13.150000,12.974000,13.038000,12.680021,9697784
2018-03-12,13.184000,13.256000,12.998000,13.060000,12.701417,8797324
2018-03-13,13.060000,13.190000,12.774000,12.826000,12.473842,12084386
2018-03-14,12.800000,12.898000,12.610000,12.710000,12.361027,11070965
2018-03-15,12.878000,12.886000,12.650000,12.774000,12.423269,10831462
2018-03-16,12.800000,12.926000,12.722000,12.842000,12.489403,24337587
2018-03-19,12.780000,12.878000,12.518000,12.550000,12.205420,11612773
2018-03-20,12.642000,12.752000,12.606000,12.660000,12.312400,8383031
2018-03-21,12.750000,12.750000,11.776000,12.008000,11.678302,35211721
2018-03-22,11.900000,11.932000,11.522000,11.650000,11.330131,25620915
2018-03-23,11.500000,11.506000,10.998000,11.318000,11.007246,32815496
2018-03-26,11.390000,11.390000,11.076000,11.186000,10.878870,16998795
2018-03-27,11.500000,11.578000,11.198000,11.314000,11.003356,17439257
2018-03-28,11.150000,11.284000,11.068000,11.196000,10.888597,16967950
2018-03-29,11.244000,11.390000,11.202000,11.326000,11.015027,15627252
2018-04-03,11.192000,11.272000,11.000000,11.162000,10.855530,14029361
2018-04-04,11.080000,11.226000,10.824000,11.168000,10.861364,18734786
2018-04-05,11.362000,11.714000,11.354000,11.660000,11.339856,18363917
2018-04-06,11.530000,11.550000,11.316000,11.352000,11.040313,14413549
2018-04-09,11.846000,11.884000,11.420000,11.484000,11.168690,18110479
2018-04-10,11.550000,11.592000,11.316000,11.432000,11.118117,14688234
2018-04-11,11.440000,11.620000,11.370000,11.490000,11.174523,12244036
2018-04-12,11.480000,11.712000,11.438000,11.668000,11.347637,8885555
2018-04-13,11.702000,11.938000,11.626000,11.700000,11.378757,12060158
2018-04-16,11.758000,11.794000,11.560000,11.600000,11.281504,9177755
2018-04-17,11.618000,11.718000,11.592000,11.662000,11.341802,9236762
2018-04-18,11.680000,11.782000,11.624000,11.726000,11.404043,7700297
2018-04-19,11.690000,11.746000,11.580000,11.686000,11.365142,8628504
2018-04-20,11.642000,11.690000,11.470000,11.574000,11.256218,14817003
2018-04-23,11.578000,11.734000,11.498000,11.686000,11.365142,9612796
2018-04-24,11.690000,12.208000,11.650000,12.178000,11.843635,21857304
2018-04-25,12.038000,12.064000,11.756000,11.990000,11.660796,16347531
2018-04-26,11.580000,12.198000,11.482000,11.834000,11.509079,25226438
2018-04-27,11.898000,11.898000,11.262000,11.436000,11.122006,25012710
2018-04-30,11.450000,11.524000,11.310000,11.366000,11.053928,10597628
2018-05-02,11.362000,11.504000,11.302000,11.440000,11.125896,11501668
2018-05-03,11.400000,11.630000,11.284000,11.314000,11.003356,13193542
2018-05-04,11.250000,11.544000,11.234000,11.520000,11.203700,11089668
2018-05-07,11.546000,11.566000,11.388000,11.526000,11.209536,8199758
2018-05-08,11.522000,11.636000,11.312000,11.454000,11.139513,10645002
2018-05-09,11.410000,11.600000,11.410000,11.540000,11.223151,8654052
2018-05-10,11.610000,11.666000,11.460000,11.604000,11.285395,6549664
2018-05-11,11.600000,11.710000,11.584000,11.644000,11.324296,7702763
2018-05-14,11.610000,11.716000,11.410000,11.470000,11.155073,11505320
2018-05-15,11.374000,11.400000,11.182000,11.280000,10.970289,15958267
2018-05-16,11.230000,11.254000,10.916000,10.978000,10.676581,21956941
2018-05-17,10.994000,11.112000,10.910000,11.024000,10.721319,11884427
2018-05-18,11.042000,11.132000,10.806000,10.810000,10.513195,19201502
2018-05-21,10.810000,10.810000,10.810000,10.810000,10.513195,0
2018-05-22,10.822000,11.016000,10.786000,10.964000,10.662966,16775788
2018-05-23,11.030000,11.030000,10.748000,10.898000,10.598778,18594452
2018-05-24,10.900000,10.994000,10.186000,10.376000,10.091110,40178216
2018-05-25,10.400000,10.538000,10.264000,10.384000,10.207100,21782510
2018-05-28,10.498000,10.520000,10.246000,10.290000,10.114702,13669425
2018-05-29,10.194000,10.206000,9.705000,9.817000,9.649760,45395234
2018-05-30,9.921000,10.042000,9.795000,9.862000,9.693994,32299501
2018-05-31,9.921000,10.012000,9.066000,9.157000,9.001003,60614123
2018-06-01,9.324000,9.538000,9.159000,9.410000,9.249693,37168444
2018-06-04,9.640000,9.786000,9.502000,9.534000,9.371581,22254669
2018-06-05,9.571000,9.749000,9.384000,9.420000,9.259523,25084440
2018-06-06,9.460000,9.625000,9.336000,9.558000,9.395171,23011080
2018-06-07,9.650000,9.849000,9.616000,9.619000,9.455133,22292536
2018-06-08,9.621000,9.621000,9.405000,9.554000,9.391240,18648384
2018-06-11,9.657000,9.793000,9.559000,9.677000,9.512145,16333841
2018-06-12,9.782000,9.785000,9.607000,9.720000,9.554413,12930645
2018-06-13,9.650000,9.707000,9.516000,9.655000,9.490520,14097718
2018-06-14,9.612000,9.740000,9.562000,9.657000,9.492485,19072682
2018-06-15,9.730000,9.730000,9.312000,9.492000,9.330296,38917914
2018-06-18,9.440000,9.676000,9.412000,9.481000,9.319484,14388881
2018-06-19,9.300000,9.640000,9.262000,9.560000,9.397139,18095900
2018-06-20,9.675000,9.723000,9.554000,9.589000,9.425644,16383680
2018-06-21,9.585000,9.643000,9.327000,9.378000,9.218239,18611384
2018-06-22,9.400000,9.590000,9.392000,9.494000,9.332263,10643343
2018-06-25,9.392000,9.411000,9.239000,9.259000,9.101266,13305643
2018-06-26,9.320000,9.367000,9.151000,9.208000,9.051135,12581121
2018-06-27,9.190000,9.202000,8.755000,9.052000,8.897792,32220185
2018-06-28,9.000000,9.108000,8.880000,9.062000,8.907622,17116101
2018-06-29,9.100000,9.453000,9.068000,9.222000,9.064897,24454316
2018-07-02,9.071000,9.210000,8.913000,9.139000,8.983310,16389948
2018-07-03,9.151000,9.337000,9.057000,9.245000,9.087504,13546806
2018-07-04,9.236000,9.349000,9.205000,9.328000,9.169090,10830079
2018-07-05,9.350000,9.692000,9.350000,9.522000,9.359786,20676214
2018-07-06,9.560000,10.120000,9.515000,9.761000,9.594713,37158572
2018-07-09,9.854000,9.867000,9.658000,9.792000,9.625185,14082193
2018-07-10,9.848000,9.897000,9.687000,9.740000,9.574071,14268211
2018-07-11,9.655000,9.667000,9.538000,9.574000,9.410900,14430916
2018-07-12,9.613000,9.644000,9.451000,9.560000,9.397139,11584638
2018-07-13,9.600000,9.744000,9.457000,9.607000,9.443337,17827481
2018-07-16,9.630000,10.498000,9.539000,10.306000,10.130429,43814802
2018-07-17,10.438000,10.484000,10.060000,10.166000,9.992815,22188583
2018-07-18,10.218000,10.390000,10.024000,10.352000,10.175646,14391391
2018-07-19,10.344000,10.468000,10.248000,10.312000,10.136328,12240970
2018-07-20,10.300000,10.372000,10.100000,10.256000,10.081281,16702556
2018-07-23,10.290000,10.422000,10.226000,10.354000,10.177611,10375634
2018-07-24,10.450000,10.526000,10.368000,10.454000,10.275908,14216887
2018-07-25,10.512000,10.514000,10.220000,10.310000,10.134361,14283949
2018-07-26,10.330000,10.580000,10.290000,10.516000,10.336851,15816063
2018-07-27,10.570000,10.656000,10.542000,10.628000,10.446944,11884388
2018-07-30,10.640000,10.992000,10.640000,10.936000,10.749697,15409783
2018-07-31,10.992000,11.284000,10.986000,11.188000,10.997403,21542897
2018-08-01,11.250000,11.256000,10.968000,11.092000,10.903039,11834946
2018-08-02,11.000000,11.002000,10.612000,10.728000,10.545239,16574965
2018-08-03,10.770000,10.876000,10.622000,10.764000,10.580626,9806568
2018-08-06,10.880000,10.880000,10.696000,10.768000,10.584558,8391680
2018-08-07,10.862000,10.974000,10.842000,10.936000,10.749697,9762516
2018-08-08,10.900000,10.964000,10.764000,10.776000,10.592422,12755277
2018-08-09,10.710000,10.794000,10.632000,10.742000,10.559001,7953194
2018-08-10,10.480000,10.498000,10.132000,10.306000,10.130429,26891013
2018-08-13,9.998000,10.240000,9.949000,10.096000,9.924006,18994428
2018-08-14,10.200000,10.292000,9.990000,10.044000,9.872892,13004025
2018-08-15,10.128000,10.206000,9.740000,9.792000,9.625185,18979917
2018-08-16,9.950000,9.974000,9.797000,9.883000,9.714636,11514960
2018-08-17,9.906000,9.906000,9.661000,9.758000,9.591765,14393764
2018-08-20,9.823000,9.896000,9.705000,9.767000,9.600612,8754697
2018-08-21,9.751000,9.963000,9.728000,9.919000,9.750022,10770631
2018-08-22,9.920000,10.098000,9.895000,9.966000,9.796221,9838456
2018-08-23,9.923000,9.957000,9.724000,9.841000,9.673350,9779747
2018-08-24,9.835000,9.963000,9.765000,9.816000,9.648777,8245287
2018-08-27,9.884000,10.046000,9.797000,10.014000,9.843404,9419188
2018-08-28,10.050000,10.100000,9.861000,9.861000,9.693010,10268712
2018-08-29,9.882000,9.991000,9.817000,9.971000,9.801136,10017003
2018-08-30,9.947000,9.964000,9.768000,9.805000,9.637964,10578705
2018-08-31,9.760000,9.780000,9.618000,9.702000,9.536718,11729358
2018-09-03,9.680000,9.781000,9.658000,9.776000,9.609458,9029645
2018-09-04,9.827000,9.933000,9.699000,9.839000,9.671385,13163972
2018-09-05,9.820000,10.080000,9.798000,9.871000,9.702840,15339716
2018-09-06,9.842000,9.940000,9.747000,9.764000,9.597663,12247923
2018-09-07,9.758000,9.813000,9.453000,9.622000,9.458081,19230615
2018-09-10,9.604000,9.720000,9.524000,9.577000,9.413848,12347873
2018-09-11,9.598000,9.686000,9.462000,9.624000,9.460047,16589448
2018-09-12,9.685000,9.690000,9.454000,9.531000,9.368632,12474189
2018-09-13,9.562000,9.846000,9.541000,9.720000,9.554413,15639705
2018-09-14,9.791000,9.837000,9.620000,9.783000,9.616339,13405243
2018-09-17,9.740000,9.886000,9.715000,9.859000,9.691045,11005450
2018-09-18,9.878000,9.962000,9.792000,9.914000,9.745107,9869185
2018-09-19,9.939000,10.220000,9.926000,10.220000,10.045895,18460005
2018-09-20,10.200000,10.444000,10.192000,10.370000,10.193338,18570849
2018-09-21,10.468000,10.626000,10.340000,10.536000,10.356511,111008927
2018-09-24,10.490000,10.608000,10.396000,10.446000,10.268044,12722513
2018-09-25,10.442000,10.568000,10.368000,10.382000,10.205134,10323848
2018-09-26,10.380000,10.380000,10.186000,10.242000,10.067519,9835100
2018-09-27,10.132000,10.244000,10.020000,10.212000,10.038031,11007140
2018-09-28,10.104000,10.118000,9.726000,9.828000,9.660572,22395401
2018-10-01,9.785000,9.846000,9.674000,9.713000,9.547532,12554263
2018-10-02,9.688000,9.730000,9.502000,9.605000,9.441371,14062275
2018-10-04,9.702000,9.884000,9.647000,9.753000,9.586850,15233127
2018-10-05,9.761000,9.938000,9.693000,9.704000,9.538685,12769929
2018-10-08,9.663000,9.671000,9.467000,9.551000,9.388291,11935890
2018-10-09,9.610000,9.644000,9.422000,9.610000,9.446286,10195272
2018-10-10,9.591000,9.837000,9.533000,9.583000,9.419746,13429620
2018-10-11,9.420000,9.650000,9.371000,9.471000,9.309654,18350779
2018-10-12,9.542000,9.608000,9.339000,9.396000,9.235931,11029462
2018-10-15,9.370000,9.552000,9.342000,9.517000,9.354871,9149051
2018-10-16,9.555000,9.678000,9.534000,9.619000,9.455133,11728962
2018-10-17,9.680000,9.834000,9.670000,9.781000,9.614373,12707832
2018-10-18,9.820000,9.971000,9.592000,9.597000,9.433508,11704745
2018-10-19,9.600000,9.600000,9.401000,9.497000,9.335211,17798134
2018-10-22,9.607000,9.690000,9.370000,9.395000,9.234949,11793705
2018-10-23,9.310000,9.399000,9.204000,9.312000,9.153363,13497502
2018-10-24,9.307000,9.308000,8.831000,8.869000,8.717910,26878371
2018-10-25,8.763000,8.968000,8.636000,8.820000,8.669744,20117722
2018-10-26,8.711000,8.714000,8.419000,8.520000,8.374856,21620580
2018-10-29,8.534000,8.707000,8.520000,8.592000,8.445628,12337152
2018-10-30,8.641000,8.701000,8.509000,8.555000,8.409259,11322499
2018-10-31,8.730000,8.746000,8.601000,8.651000,8.503623,11166424
2018-11-01,8.640000,8.999000,8.582000,8.950000,8.797529,20216832
2018-11-02,9.090000,9.269000,9.067000,9.191000,9.034424,20372492
2018-11-05,9.211000,9.257000,9.084000,9.175000,9.018697,9025972
2018-11-06,9.201000,9.208000,9.004000,9.083000,8.928265,9223312
2018-11-07,9.129000,9.299000,9.128000,9.185000,9.028526,10426274
2018-11-08,9.210000,9.367000,9.127000,9.156000,9.000021,10619012
2018-11-09,9.082000,9.096000,8.882000,8.958000,8.805393,13069029
2018-11-12,8.981000,9.029000,8.654000,8.672000,8.524265,12252451
2018-11-13,8.682000,8.834000,8.622000,8.820000,8.669744,10522920
2018-11-14,8.742000,8.886000,8.623000,8.731000,8.582260,8740232
2018-11-15,8.750000,8.846000,8.533000,8.606000,8.459390,12225165
2018-11-16,8.678000,8.722000,8.518000,8.602000,8.455459,12861859
2018-11-19,8.604000,8.734000,8.506000,8.564000,8.418106,8484202
2018-11-20,8.500000,8.510000,8.054000,8.153000,8.014107,25386163
2018-11-21,8.221000,8.329000,8.142000,8.317000,8.175314,11292647
2018-11-22,8.274000,8.309000,8.136000,8.232000,8.091762,8261975
2018-11-23,8.207000,8.304000,8.138000,8.170000,8.030818,8869065
2018-11-26,8.250000,8.571000,8.250000,8.561000,8.415156,15003367
2018-11-27,8.595000,8.717000,8.530000,8.658000,8.510504,9554735
2018-11-28,8.699000,8.752000,8.544000,8.592000,8.445628,8060790
2018-11-29,8.645000,8.723000,8.172000,8.300000,8.158604,21799450
2018-11-30,8.280000,8.280000,7.993000,8.063000,7.925640,19048157
2018-12-03,8.299000,8.413000,8.202000,8.322000,8.180228,13504097
2018-12-04,8.265000,8.299000,8.050000,8.060000,7.922692,11324026
2018-12-05,8.000000,8.163000,7.869000,8.055000,7.917777,13068963
2018-12-06,7.921000,7.940000,7.670000,7.698000,7.566858,26117216
2018-12-07,7.781000,7.878000,7.704000,7.705000,7.573739,13740483
2018-12-10,7.703000,7.790000,7.240000,7.277000,7.153030,24623354
2018-12-11,7.371000,7.567000,7.272000,7.430000,7.303424,15581399
2018-12-12,7.476000,7.912000,7.392000,7.862000,7.728065,23854795
2018-12-13,8.001000,8.224000,7.771000,7.860000,7.726099,18106161
2018-12-14,7.740000,7.866000,7.572000,7.848000,7.714303,10446978
2018-12-17,7.823000,7.889000,7.603000,7.660000,7.529506,12249251
2018-12-18,7.617000,7.766000,7.583000,7.644000,7.513779,11976842
2018-12-19,7.701000,7.785000,7.515000,7.530000,7.401721,11792807
2018-12-20,7.400000,7.400000,6.994000,7.000000,6.880750,28220174
2018-12-21,7.000000,7.100000,6.842000,7.042000,6.922034,38586144
2018-12-27,7.100000,7.130000,6.678000,6.750000,6.635008,17761385
2018-12-28,6.810000,7.009000,6.781000,6.967000,6.848312,9429341
2019-01-02,7.070000,7.185000,6.836000,7.149000,7.027211,16731014
2019-01-03,7.069000,7.289000,7.026000,7.098000,6.977080,12433219
2019-01-04,7.200000,7.450000,7.170000,7.436000,7.309322,16572099
2019-01-07,7.507000,7.593000,7.405000,7.551000,7.422363,12091778
2019-01-08,7.596000,7.799000,7.571000,7.623000,7.493136,14390276
2019-01-09,7.660000,7.698000,7.360000,7.412000,7.285731,16116045
2019-01-10,7.280000,7.485000,7.150000,7.480000,7.352572,12605972
2019-01-11,7.484000,7.574000,7.321000,7.456000,7.328981,13169223
2019-01-14,7.385000,7.512000,7.313000,7.462000,7.334879,11880337
2019-01-15,7.566000,7.710000,7.340000,7.486000,7.358470,14543902
2019-01-16,7.538000,8.145000,7.538000,8.114000,7.975772,22035726
2019-01-17,7.935000,8.084000,7.742000,7.782000,7.649427,21953940
2019-01-18,7.897000,8.043000,7.881000,7.998000,7.861748,22233612
2019-01-21,7.954000,8.026000,7.886000,7.982000,7.846020,7400753
2019-01-22,7.830000,7.891000,7.674000,7.860000,7.726099,12541871
2019-01-23,7.745000,8.043000,7.710000,7.973000,7.837174,13406241
2019-01-24,7.950000,8.047000,7.613000,7.822000,7.688746,16799381
2019-01-25,7.910000,8.148000,7.856000,8.131000,7.992482,14842853
2019-01-28,8.168000,8.320000,8.044000,8.057000,7.919743,12339175
2019-01-29,8.091000,8.191000,8.014000,8.113000,7.974789,9886404
2019-01-30,8.090000,8.120000,7.956000,8.065000,7.927606,10153936
2019-01-31,8.102000,8.209000,7.639000,7.746000,7.614041,24312600
2019-02-01,7.800000,7.838000,7.410000,7.700000,7.568824,22001906
2019-02-04,7.722000,7.861000,7.545000,7.656000,7.525574,12819977
2019-02-05,7.620000,7.815000,7.588000,7.796000,7.663189,11101627
2019-02-06,7.760000,7.908000,7.630000,7.893000,7.758537,10354726
2019-02-07,7.870000,7.947000,7.336000,7.393000,7.267055,21078184
2019-02-08,7.350000,7.375000,7.097000,7.198000,7.075377,16428663
2019-02-11,7.252000,7.438000,7.202000,7.371000,7.245429,10665909
2019-02-12,7.464000,7.573000,7.451000,7.530000,7.401721,9800316
2019-02-13,7.527000,7.638000,7.444000,7.573000,7.443988,9078025
2019-02-14,7.620000,7.660000,7.330000,7.380000,7.254276,11978071
2019-02-15,7.320000,7.796000,7.278000,7.722000,7.590450,20472845
2019-02-18,7.699000,7.799000,7.674000,7.756000,7.623870,6704128
2019-02-19,7.776000,7.782000,7.410000,7.593000,7.463647,11726663
2019-02-20,7.600000,7.689000,7.544000,7.689000,7.558012,8412495
2019-02-21,7.693000,7.753000,7.570000,7.660000,7.529506,9996167
2019-02-22,7.617000,7.782000,7.610000,7.622000,7.492154,9425768
2019-02-25,7.680000,7.816000,7.674000,7.746000,7.614041,9033756
2019-02-26,7.681000,7.892000,7.571000,7.828000,7.694644,9891912
2019-02-27,7.775000,7.991000,7.734000,7.984000,7.847987,16053429
2019-02-28,7.926000,8.240000,7.853000,8.161000,8.021972,16752077
2019-03-01,8.230000,8.297000,8.170000,8.173000,8.033767,12310924
2019-03-04,8.238000,8.280000,8.124000,8.132000,7.993465,7954225
2019-03-05,8.051000,8.211000,7.970000,8.063000,7.925640,10832771
2019-03-06,8.038000,8.249000,8.010000,8.172000,8.032784,10912101
2019-03-07,8.114000,8.190000,7.683000,7.753000,7.620921,21018346
2019-03-08,7.700000,7.746000,7.597000,7.679000,7.548182,13726627
2019-03-11,7.710000,8.131000,7.650000,8.060000,7.922692,18769859
2019-03-12,8.150000,8.205000,7.798000,7.858000,7.724133,16931576
2019-03-13,7.846000,7.994000,7.815000,7.959000,7.823412,8635215
2019-03-14,7.990000,8.030000,7.859000,7.889000,7.754605,9956148
2019-03-15,7.927000,7.930000,7.754000,7.816000,7.682848,21954008
2019-03-18,8.000000,8.233000,8.000000,8.140000,8.001329,24311004
2019-03-19,8.040000,8.073000,7.830000,8.022000,7.885339,14996217
2019-03-20,7.950000,8.003000,7.750000,7.754000,7.621905,13934999
2019-03-21,7.650000,7.651000,7.406000,7.436000,7.309322,18448161
2019-03-22,7.576000,7.678000,7.255000,7.277000,7.153030,18376375
2019-03-25,7.250000,7.350000,7.134000,7.225000,7.101916,12408848
2019-03-26,7.220000,7.363000,7.121000,7.305000,7.180553,12792264
2019-03-27,7.330000,7.683000,7.273000,7.514000,7.385993,17957142
2019-03-28,7.456000,7.500000,7.166000,7.257000,7.133371,18128926
2019-03-29,7.250000,7.343000,7.195000,7.260000,7.136321,12195197
2019-04-01,7.339000,7.558000,7.266000,7.526000,7.397789,14269978
2019-04-02,7.570000,7.656000,7.488000,7.578000,7.448903,10518200
2019-04-03,7.662000,7.741000,7.603000,7.645000,7.514761,14507731
2019-04-04,7.590000,7.635000,7.447000,7.582000,7.452835,17028157
2019-04-05,7.559000,7.638000,7.492000,7.492000,7.364368,12984285
2019-04-08,7.452000,7.510000,7.319000,7.349000,7.223804,13066278
2019-04-09,7.330000,7.473000,7.285000,7.295000,7.170724,10127018
2019-04-10,7.308000,7.431000,7.215000,7.242000,7.118627,11236690
2019-04-11,7.284000,7.549000,7.153000,7.452000,7.325049,16963108
2019-04-12,7.426000,7.760000,7.367000,7.615000,7.485272,17985219
2019-04-15,7.600000,7.775000,7.583000,7.648000,7.517710,9626787
2019-04-16,7.650000,7.808000,7.584000,7.775000,7.642547,10503463
